timestamp,first,last,annualized_return,ticker
2014-12-31,20.59,20.16,-0.020883924235065576,ARKK
2015-12-31,20.24,20.4601,0.010874505928853972,ARKK
2016-12-31,16.74,20.05,0.19772998805256892,ARKK
2017-12-31,22.0912,37.08,0.6784964148620263,ARKK
2018-12-31,41.24,37.19,-0.09820562560620771,ARKK
2019-12-31,43.05,50.05,0.16260162601626016,ARKK
2020-12-31,51.8,124.49,1.4032818532818534,ARKK
2021-12-31,137.44,94.59,-0.3117724097788125,ARKK
2022-12-31,75.43,31.24,-0.585841177250431,ARKK
2023-12-31,39.93,52.37,0.31154520410718756,ARKK
2024-12-31,45.41,46.18,0.01695661748513544,ARKK
2022-12-31,18.1001,19.79,0.09336412506008251,AZTD
2023-12-31,21.3204,21.81,0.022963921877638294,AZTD
2024-12-31,21.6944,24.453,0.12715723873441975,AZTD
2013-12-31,30.5,20.25,-0.33606557377049184,BRZU
2014-12-31,13.54,8.81,-0.34933530280649916,BRZU
2015-12-31,7.04,11.63,0.6519886363636365,BRZU
2016-12-31,9.7,31.05,2.2010309278350517,BRZU
2017-12-31,41.35,40.28,-0.02587666263603383,BRZU
2018-12-31,60.31,24.97,-0.5859724755430278,BRZU
2019-12-31,40.64,38.8,-0.04527559055118113,BRZU
2020-12-31,29.82,116.1,2.8933601609657944,BRZU
2021-12-31,97.52,66.48,-0.3182936833470057,BRZU
2022-12-31,83.75,68.61,-0.1807761194029851,BRZU
2023-12-31,79.59,102.88,0.29262470159567777,BRZU
2024-12-31,90.53,70.04,-0.22633381199602332,BRZU
2011-12-31,51.29,42.6,-0.16942873854552543,DUST
2012-12-31,30.32,31.51,0.039248021108179376,DUST
2013-12-31,41.87,44.05,0.05206591831860519,DUST
2014-12-31,30.02,24.6601,-0.17854430379746833,DUST
2015-12-31,12.11,16.52,0.36416184971098264,DUST
2016-12-31,13.587,48.37,2.5600206079340544,DUST
2017-12-31,30.32,23.7,-0.2183377308707124,DUST
2018-12-31,21.7,22.86,0.05345622119815663,DUST
2019-12-31,18.1,5.62,-0.6895027624309392,DUST
2020-12-31,5.66,19.9,2.515901060070671,DUST
2021-12-31,20.88,18.94,-0.09291187739463591,DUST
2022-12-31,20.46,14.64,-0.28445747800586507,DUST
2023-12-31,11.59,10.19,-0.12079378774805871,DUST
2024-12-31,12.5,5.16,-0.5871999999999999,DUST
2008-12-31,25.47,25.47,0.0,FAS
2009-12-31,9.17,74.13,7.083969465648854,FAS
2010-12-31,69.4,27.844,-0.5987896253602305,FAS
2011-12-31,29.95,64.866,1.1658096828046745,FAS
2012-12-31,79.36,119.9204,0.5110937500000001,FAS
2013-12-31,142.32,90.3,-0.36551433389544685,FAS
2014-12-31,80.66,127.15,0.5763699479295812,FAS
2015-12-31,106.76,29.069,-0.7277163731734733,FAS
2016-12-31,21.99,40.9,0.8599363346975899,FAS
2017-12-31,41.5,68.38,0.6477108433734939,FAS
2018-12-31,78.8,44.77,-0.4318527918781725,FAS
2019-12-31,57.7,94.64,0.640207972270364,FAS
2020-12-31,93.08,60.8,-0.34679845294370437,FAS
2021-12-31,57.01,130.73,1.2931064725486756,FAS
2022-12-31,127.92,73.55,-0.4250312695434647,FAS
2023-12-31,88.34,82.65,-0.06441023318994787,FAS
2024-12-31,89.0,127.7,0.43483146067415723,FAS
2013-12-31,61.0,64.22,0.052786885245901694,JDST
2014-12-31,37.0,15.7,-0.5756756756756757,JDST
2015-12-31,8.29,29.74,2.5874547647768398,JDST
2016-12-31,28.24,35.09,0.24256373937677078,JDST
2017-12-31,18.28,51.31,1.8068927789934355,JDST
2018-12-31,51.22,50.27,-0.018547442405310366,JDST
2019-12-31,37.59,9.78,-0.7398244213886672,JDST
2020-12-31,9.92,9.75,-0.017137096774193505,JDST
2021-12-31,10.82,10.82,0.0,JDST
2022-12-31,12.32,7.98,-0.3522727272727273,JDST
2023-12-31,6.54,5.5,-0.15902140672782872,JDST
2024-12-31,6.83,25.45,2.726207906295754,JDST
2013-12-31,19.45,15.6,-0.19794344473007708,JNUG
2014-12-31,21.6,24.34,0.12685185185185177,JNUG
2015-12-31,34.1,31.05,-0.0894428152492669,JNUG
2016-12-31,29.35,5.58,-0.8098807495741056,JNUG
2017-12-31,8.93,17.76,0.988801791713326,JNUG
